objectid;tipcalle;nomcalle;velocidad;st_length_shape;geo_shape;geo_point_2d
7909;C/;ABEN AL-ABBAR;30;64.5174395028197;"{""coordinates"": [[-0.3517747086436442, 39.469018919139316], [-0.3515272515705887, 39.46956731874516]], ""type"": ""LineString""}";39.46929311894224, -0.35165098010711643
7916;C/;DOCTOR MANUEL CANDELA;30;21.44990759886858;"{""coordinates"": [[-0.350437108448922, 39.46787396486526], [-0.3501956533296489, 39.46782617241317]], ""type"": ""LineString""}";39.467850068639216, -0.35031638088928546
7919;C/;ORDE DEL CISTER;30;53.64956634493889;"{""coordinates"": [[-0.4080406428687573, 39.470679565444584], [-0.40866182183795036, 39.47063936525356]], ""type"": ""LineString""}";39.47065946534907, -0.4083512323533538
6691;C/;MARTÍ;30;112.18825273619339;"{""coordinates"": [[-0.37105807602528607, 39.4658774129356], [-0.3704298017138107, 39.46499228246663]], ""type"": ""LineString""}";39.46543484770112, -0.3707439388695484
6698;C/;MARIÀ CUBER;30;60.59059519430387;"{""coordinates"": [[-0.3357205281614729, 39.46422431847309], [-0.3350240531227614, 39.46414529692243]], ""type"": ""LineString""}";39.46418480769776, -0.33537229064211715
6700;C/;ARXIDUC CARLES;50;136.39780576339427;"{""coordinates"": [[-0.3931363418236634, 39.46663451839222], [-0.3931768804595042, 39.46659939242354], [-0.39328492727703696, 39.46650722331152], [-0.3940248429843069, 39.465877722305635], [-0.3941335868942199, 39.46578145096732], [-0.3941994574709482, 39.46572371292041]], ""type"": ""LineString""}";39.46618017152823, -0.3936688166293654
6955;C/;JOSÉ AGUILAR;30;58.92336858157382;"{""coordinates"": [[-0.34017423885930087, 39.465319877249435], [-0.33994967917652513, 39.46582111034078]], ""type"": ""LineString""}";39.465570493795106, -0.34006195901791303
6957;C/;MONTANT;30;24.731369250407464;"{""coordinates"": [[-0.3268320511132405, 39.465015731042975], [-0.3267844167322872, 39.465235349301516]], ""type"": ""LineString""}";39.465125540172245, -0.3268082339227638
6959;C/;DOCTOR MANUEL CANDELA;50;271.8256185659411;"{""coordinates"": [[-0.3511338287321916, 39.46548896640626], [-0.35093062752640913, 39.46600338375964], [-0.3506005898818668, 39.4668401616235], [-0.3501956533296489, 39.46782617241317]], ""type"": ""LineString""}";39.46665913522003, -0.35066862898393897
6960;AV;PORT;50;152.59090486547512;"{""coordinates"": [[-0.353026841603249, 39.46605656229925], [-0.3518949388380089, 39.46571009036963], [-0.35137979776729544, 39.46554839994843]], ""type"": ""LineString""}";39.465803737912545, -0.3522029301031771
6961;C/;MONTANEJOS;30;23.220077758580423;"{""coordinates"": [[-0.32623474087498155, 39.46517316480749], [-0.32624534584106546, 39.46512386077103], [-0.32627536442986754, 39.46498491605794], [-0.32627967680340786, 39.464966997807366]], ""type"": ""LineString""}";39.46507003381476, -0.3262569998797076
6962;C/;SONEIXA;Peatonal;47.862975361045486;"{""coordinates"": [[-0.3268320511132405, 39.465015731042975], [-0.32678867752372526, 39.46501022896634], [-0.32677633371479636, 39.46500994502246], [-0.3265736481503855, 39.46499176937059], [-0.32627967680340786, 39.464966997807366]], ""type"": ""LineString""}";39.464990595359026, -0.32655595678534777
6964;C/;INDÚSTRIA;30;14.270270670173009;"{""coordinates"": [[-0.3430271223575463, 39.4653329500788], [-0.3429687905929846, 39.465453234636364]], ""type"": ""LineString""}";39.46539309235759, -0.34299795647526543
6965;C/;MARÍ ALBESA;30;59.64023241553905;"{""coordinates"": [[-0.3436727309178276, 39.465527874971045], [-0.34315130608388456, 39.46537182425191], [-0.3430271223575463, 39.4653329500788]], ""type"": ""LineString""}";39.46543104418524, -0.3433497332584879
6967;C/;XIVA;30;46.724511436718096;"{""coordinates"": [[-0.3926469991193761, 39.46645237305177], [-0.3931363418236634, 39.46663451839222]], ""type"": ""LineString""}";39.466543445721996, -0.39289167047151974
6968;CAMI;RIBÀS;30;230.80233160619693;"{""coordinates"": [[-0.3567472194537476, 39.430752148280185], [-0.3566048826800567, 39.43071732661357], [-0.3560179856187113, 39.43058137768863], [-0.35547303684030984, 39.43046053301661], [-0.35468010386010107, 39.43027132326213], [-0.35417953437701033, 39.43015695986084]], ""type"": ""LineString""}";39.4304544717238, -0.3554634004325131
7376;C/;LLEONS;30;66.39488685885382;"{""coordinates"": [[-0.34806802957762895, 39.46683088192393], [-0.3478630864838816, 39.46740727008136]], ""type"": ""LineString""}";39.467119076002646, -0.34796555803075524
7380;PL;ORGANISTA CABO;Peatonal;158.77938499328388;"{""coordinates"": [[-0.3451046470771884, 39.46674522984118], [-0.3446351367786683, 39.46772546599703], [-0.3450961283690292, 39.467866616474325]], ""type"": ""LineString""}";39.467407636431886, -0.3448685831237066
7478;C/;DUC DE GAETA;30;75.67283426038699;"{""coordinates"": [[-0.34901390224533857, 39.46809115850644], [-0.3487574103039847, 39.46874293770617]], ""type"": ""LineString""}";39.4684170481063, -0.34888565627466167
7486;C/;LLUÍS DESPUIG;30;94.1866934098648;"{""coordinates"": [[-0.33238507201077644, 39.46857559841389], [-0.3322225967080093, 39.46913941006781], [-0.33214712646013594, 39.46940343521913]], ""type"": ""LineString""}";39.46898946131893, -0.3322659058698605
7488;PL;ARTUR PIERA;30;24.261901100284785;"{""coordinates"": [[-0.39493920647573133, 39.4699856795043], [-0.39488977718068075, 39.470200774214746]], ""type"": ""LineString""}";39.47009322685952, -0.39491449182820604
7489;C/;COLUMBRETES;30;61.45183691314687;"{""coordinates"": [[-0.32552112248224746, 39.468404373062434], [-0.3248072064104755, 39.468399687944945]], ""type"": ""LineString""}";39.46840203050369, -0.3251641644463615
7702;C/;JOSEP BENLLIURE;30;89.75602899387651;"{""coordinates"": [[-0.3303109331927171, 39.46913156180496], [-0.33021750615577733, 39.46957985212979], [-0.33014529569527995, 39.46992953372662]], ""type"": ""LineString""}";39.46953051057035, -0.3302279351502496
7705;C/;VICENT SANCHO TELLO;30;103.92173499802628;"{""coordinates"": [[-0.35788891949842916, 39.47004689536465], [-0.35675223543476287, 39.469731342509874]], ""type"": ""LineString""}";39.46988911893726, -0.357320577466596
7711;AV;ARAGÓ;50;97.28933187148527;"{""coordinates"": [[-0.35944182856346857, 39.468995219675755], [-0.35860517295672034, 39.46958429830024]], ""type"": ""LineString""}";39.469289758988, -0.3590235007600945
7714;C/;DUC DE GAETA;30;115.11380890666419;"{""coordinates"": [[-0.3487574103039847, 39.46874293770617], [-0.3483652744463965, 39.46973396308395]], ""type"": ""LineString""}";39.46923845039505, -0.3485613423751906
7715;GV;MARQUÉS DEL TÚRIA;30;31.76763388001615;"{""coordinates"": [[-0.3736832385024271, 39.46509249982779], [-0.3736630162699682, 39.465000702605906], [-0.3736256704445742, 39.464947625601255], [-0.3734778095903007, 39.464881168308246]], ""type"": ""LineString""}";39.464965192802, -0.37360600703083824
7922;PL;PINAZOS;Peatonal;59.50012920994373;"{""coordinates"": [[-0.3710359905287148, 39.46978513484341], [-0.3710172615491014, 39.47032073415657]], ""type"": ""LineString""}";39.47005293449999, -0.3710266260389081
8088;C/;LLUÍS DESPUIG;30;62.169125603786995;"{""coordinates"": [[-0.33214712646013594, 39.46940343521913], [-0.3320828053368767, 39.46962267258841], [-0.3319867862520463, 39.46994928699188]], ""type"": ""LineString""}";39.46967637169659, -0.33206699241890486
8092;C/;ESPINOSA;30;21.684140956007457;"{""coordinates"": [[-0.3857554477618645, 39.47209466866414], [-0.3859978969289159, 39.47204156525165]], ""type"": ""LineString""}";39.4720681169579, -0.3858766723453902
7381;C/;RAMIRO DE MAEZTU;30;44.89087570988118;"{""coordinates"": [[-0.34559085928504213, 39.4668914588607], [-0.3451046470771884, 39.46674522984118]], ""type"": ""LineString""}";39.46681834435094, -0.34534775318111527
7382;PL;TRETZE ROSES;Peatonal;146.41379649939182;"{""coordinates"": [[-0.41121239226658945, 39.46823231797184], [-0.41068592957071415, 39.468265633588395], [-0.4107393673948891, 39.468685735578745], [-0.4107500958427667, 39.468749036535364], [-0.4112950889685644, 39.468725142287234]], ""type"": ""LineString""}";39.468500369512846, -0.4109022423072779
7385;C/;CORTES D?ARENÓS;30;52.02607079147915;"{""coordinates"": [[-0.4164801113431994, 39.468637851987765], [-0.4164397471047896, 39.46817039507457]], ""type"": ""LineString""}";39.46840412353117, -0.4164599292239945
7394;BARRI;LLUM;30;38.575255605115565;"{""coordinates"": [[-0.41487382016294183, 39.468169707186505], [-0.41442738081356373, 39.46820030640956]], ""type"": ""LineString""}";39.46818500679803, -0.41465060048825275
7499;PL;HÒMENS DE LA MAR;30;110.31662275921975;"{""coordinates"": [[-0.3260803018255791, 39.46939466985086], [-0.32606725345458515, 39.46840134650837]], ""type"": ""LineString""}";39.468898008179615, -0.32607377764008216
7503;C/;ABEN AL-ABBAR;30;81.79390463286308;"{""coordinates"": [[-0.35208731120189457, 39.46832336768397], [-0.35195159472455767, 39.46862657327228], [-0.3517747086436442, 39.469018919139316]], ""type"": ""LineString""}";39.46867124686687, -0.35193124022098654
